样本	Learn	段名	原始脉冲	二进制	十六进制	位说明/字段说明
cool	Learn1Code	帧1-头	93E30DF2			chunk header bytes
cool	Learn1Code	帧1-0-7	D3FD EFFA D2FD 64FE D3FD 64FE D3FD F0FA D2FD 64FE D4FD 64FE D3FD 51FE E6FD 63FE	10010000	09	推测 mode candidate
cool	Learn1Code	帧1-8-15	D4FD 63FE D4FD 50FE E6FD 50FE E6FD DBFA E6FD 51FE E6FD 50FE E5FD 51FE E6FD 51FE	00010000	08	已确认 temperature candidate
cool	Learn1Code	帧1-16-23	E6FD 50FE E5FD 51FE E6FD 51FE E6FD 50FE E6FD 51FE E6FD 51FE E6FD 51FE E6FD 51FE	00000000	00	已确认 fixed byte
cool	Learn1Code	帧1-24-31	E6FD 51FE E5FD 51FE D2FD 64FE E6FD 51FE D2FD F0FA E6FD 51FE D2FD F0FA D3FD 65FE	00001010	50	已确认 frame tag
cool	Learn1Code	帧1-32-39	D1FD 65FE D2FD F0FA D2FD 65FE D2FD 6CC1 E6FD 51FE E6FD 51FE E6FD 51FE E5FD 51FE	01000000	02	已确认 fixed byte
cool	Learn1Code	帧1-40-47	E7FD 51FE E6FD 51FE E6FD 51FE E6FD 51FE E6FD 51FE E6FD 51FE D2FD 65FE E6FD 51FE	00000000	00	已确认 fixed byte
cool	Learn1Code	帧1-48-55	E6FD 51FE E6FD 51FE E6FD 51FE E6FD 51FE E6FD 51FE E6FD 51FE D2FD 66FE E6FD 51FE	00000000	00	已确认 fixed field
cool	Learn1Code	帧1-56-63	D2FD 65FE D2FD 64FE D2FD 65FE D1FD 66FE D2FD 66FE D2FD 65FE D2FD 65FE D2FD 66FE	00000000	00	未知 variable field, meaning unresolved
cool	Learn1Code	帧1-64-67	D1FD F0FA D2FD F1FA D2FD 65FE D2FD F1FA	1101	B	tail bits
cool	Learn1Code	帧1-标记	D2FD			special marker or separator
cool	Learn1Code	帧1-帧间分隔	BF82			between frames
cool	Learn1Code	帧2-头	A8E30CF2			chunk header bytes
cool	Learn1Code	帧2-0-7	D3FD F0FA D2FD 64FE D3FD 63FE D3FD EEFA D3FD 64FE D3FD 65FE D2FD 63FE D4FD 63FE	10010000	09	推测 mode candidate
