样本	Learn	段名	原始脉冲	二进制	十六进制	位说明/字段说明
cool	Learn1Code	帧1-头	0EF65DF6			chunk header bytes
cool	Learn1Code	帧1-0-7	39FE DEFA 38FE 59FE 38FE DDFA 38FE 5AFE 38FE 59FE 38FE DDFA 38FE DDFA 39FE 51FE	10100110	65	未知 field not present in all samples
cool	Learn1Code	帧1-8-15	38FE DDFA 38FE 59FE 39FE 59FE 38FE DEFA 38FE 59FE 38FE DDFA 38FE DDFA 39FE 51FE	10010110	69	未知 field not present in all samples
cool	Learn1Code	帧1-16-23	38FE 5AFE 38FE 5AFE 38FE 59FE 38FE 58FE 38FE 59FE 39FE 59FE 39FE 59FE 38FE 52FE	00000000	00	未知 field not present in all samples
cool	Learn1Code	帧1-24-31	38FE 59FE 39FE 59FE 38FE 58FE 38FE 59FE 38FE 59FE 39FE 59FE 38FE 59FE 38FE 51FE	00000000	00	未知 field not present in all samples
cool	Learn1Code	帧1-32-39	39FE 59FE 39FE DDFA 39FE 59FE 39FE 58FE 39FE 58FE 39FE 58FE 3AFE 57FE 4DFE 3DFE	01000000	02	未知 field not present in all samples
cool	Learn1Code	帧1-40-47	39FE 58FE 4DFE C9FA 4EFE C8FA 4DFE 43FE 4DFE 44FE 4DFE 44FE 4DFE 44FE 4EFE 3CFE	01100000	06	未知 field not present in all samples
cool	Learn1Code	帧1-48-55	4EFE 43FE 4EFE 44FE 4EFE 43FE 4DFE 43FE 4EFE 44FE 4DFE 43FE 4EFE 44FE 4EFE 3CFE	00000000	00	未知 field not present in all samples
cool	Learn1Code	帧1-56-63	4EFE 44FE 4EFE 43FE 4EFE C7FA 4FFE 43FE 4EFE 43FE 4EFE 43FE 4FFE 43FE 4EFE 3CFE	00100000	04	未知 field not present in all samples
cool	Learn1Code	帧1-64-71	4EFE 43FE 4EFE 43FE 4EFE 43FE 4EFE 43FE 4EFE 43FE 4FFE 43FE 4FFE 43FE 4EFE 3BFE	00000000	00	未知 field not present in all samples
cool	Learn1Code	帧1-72-79	4FFE 43FE 4FFE 43FE 4EFE 42FE 4EFE 41FE 4FFE 42FE 50FE 42FE 4FFE 43FE 4FFE 3AFE	00000000	00	未知 field not present in all samples
cool	Learn1Code	帧1-80-87	4FFE 42FE 4FFE 42FE 4FFE 43FE 50FE 42FE 4FFE 43FE 4FFE 42FE 50FE 42FE 4FFE 3AFE	00000000	00	未知 field not present in all samples
